Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,Commissions [$]
2013-12-31,2018-12-21,1816 days,0.0,10000.0,10000.0,0.0,52.59618145532764,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,M002FullStrategy,"             Equity  DrawdownPct  DrawdownDuration
2013-12-31  10000.0          0.0               NaN
2014-11-06  10000.0          0.0               NaN
2014-11-07  10000.0          0.0               NaN
2014-11-10  10000.0          0.0               NaN
2014-11-11  10000.0          0.0               NaN
...             ...          ...               ...
2018-12-17  10000.0          0.0               NaN
2018-12-18  10000.0          0.0               NaN
2018-12-19  10000.0          0.0               NaN
2018-12-20  10000.0          0.0               NaN
2018-12-21  10000.0          0.0               NaN

[108 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",DGX,
2014-11-21,2017-12-27,1132 days,0.0,10000.0,10000.0,0.0,12.984215270292873,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,M002FullStrategy,"             Equity  DrawdownPct  DrawdownDuration
2014-11-21  10000.0          0.0               NaN
2014-11-24  10000.0          0.0               NaN
2014-11-25  10000.0          0.0               NaN
2014-11-26  10000.0          0.0               NaN
2014-11-28  10000.0          0.0               NaN
...             ...          ...               ...
2017-12-20  10000.0          0.0               NaN
2017-12-21  10000.0          0.0               NaN
2017-12-22  10000.0          0.0               NaN
2017-12-26  10000.0          0.0               NaN
2017-12-27  10000.0          0.0               NaN

[89 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",SSBI,
2013-12-09,2018-12-21,1838 days,1.5267175572519083,7691.632557358741,10000.0,-23.08367442641259,-17.247104519142955,-39.64157012923515,19.775142409297423,-3.534391580197449,-2.004616164513555,-1.2437210995497086,-1.7172989618965009,-24.557888906038276,-0.0854760564586028,-23.083674426412593,-23.083674426412593,1467 days,1467 days,1,0.0,-23.150625020761858,-23.150625020761858,-23.15062502076186,1 days,1 days,0.0,-23.150625020761858,,,M002FullStrategy,"                  Equity  DrawdownPct DrawdownDuration
2013-12-09  10000.000000     0.000000              NaT
2013-12-10  10000.000000     0.000000              NaT
2013-12-11  10000.000000     0.000000              NaT
2013-12-12  10000.000000     0.000000              NaT
2013-12-13  10000.000000     0.000000              NaT
...                  ...          ...              ...
2018-12-17   7691.632557     0.230837              NaT
2018-12-18   7691.632557     0.230837              NaT
2018-12-19   7691.632557     0.230837              NaT
2018-12-20   7691.632557     0.230837              NaT
2018-12-21   7691.632557     0.230837        1467 days

[131 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice    SL    TP          PnL  Commission  ReturnPct  EntryTime   ExitTime Duration   Tag
0 -2086        19       20        4.78       5.86  None  None -2308.367443   55.487602  -0.231506 2014-12-16 2014-12-17   1 days  None",CERS,55.48760179042816
2013-12-24,2018-12-21,1823 days,0.0,10000.0,10000.0,0.0,-17.77142660958426,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,M002FullStrategy,"             Equity  DrawdownPct  DrawdownDuration
2013-12-24  10000.0          0.0               NaN
2013-12-26  10000.0          0.0               NaN
2013-12-27  10000.0          0.0               NaN
2013-12-30  10000.0          0.0               NaN
2013-12-31  10000.0          0.0               NaN
...             ...          ...               ...
2018-12-17  10000.0          0.0               NaN
2018-12-18  10000.0          0.0               NaN
2018-12-19  10000.0          0.0               NaN
2018-12-20  10000.0          0.0               NaN
2018-12-21  10000.0          0.0               NaN

[114 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",TEO,
2013-12-13,2018-12-21,1834 days,4.958677685950414,11639.636602048875,11957.069631605149,16.39636602048875,25.63771346601848,37.19187196742493,41.03837126707754,2.1081431428732866,0.9062706637497964,9.583485158043175,14.009436997336973,14.683384337681508,0.06681491643463892,-2.654772777413872,-1.5166380689380254,381 days,200 days,2,50.0,16.628570938598603,-0.13044308052423742,7.92424984121729,340 days,171 days,127.47760074179538,8.249063929037183,0.9843857009213672,0.49606570963714797,M002FullStrategy,"                  Equity  DrawdownPct DrawdownDuration
2013-12-13  10000.000000     0.000000              NaT
2013-12-16  10000.000000     0.000000              NaT
2013-12-17  10000.000000     0.000000              NaT
2013-12-18  10000.000000     0.000000              NaT
2013-12-19  10000.000000     0.000000              NaT
...                  ...          ...              ...
2018-12-17  11639.636602     0.026548              NaT
2018-12-18  11639.636602     0.026548              NaT
2018-12-19  11639.636602     0.026548              NaT
2018-12-20  11639.636602     0.026548              NaT
2018-12-21  11639.636602     0.026548          18 days

[121 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice    SL    TP          PnL  Commission  ReturnPct  EntryTime   ExitTime Duration   Tag
0  -245        79       81   40.689999  40.540001  None  None   -13.003935   49.753375  -0.001304 2017-11-20 2017-11-22   2 days  None
1   212       106      108   46.880001  54.930000  None  None  1652.640538   53.959301   0.166286 2017-12-29 2018-12-04 340 days  None",FL,103.712675447464
2011-12-30,2017-12-26,2188 days,0.0,10000.0,10000.0,0.0,198.34319116588324,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,M002FullStrategy,"             Equity  DrawdownPct  DrawdownDuration
2011-12-30  10000.0          0.0               NaN
2012-11-29  10000.0          0.0               NaN
2012-11-30  10000.0          0.0               NaN
2012-12-03  10000.0          0.0               NaN
2012-12-04  10000.0          0.0               NaN
...             ...          ...               ...
2017-12-19  10000.0          0.0               NaN
2017-12-20  10000.0          0.0               NaN
2017-12-21  10000.0          0.0               NaN
2017-12-22  10000.0          0.0               NaN
2017-12-26  10000.0          0.0               NaN

[99 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",HTH,
2016-12-16,2018-12-21,735 days,0.0,10000.0,10000.0,0.0,0.05116848037227071,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,M002FullStrategy,"             Equity  DrawdownPct  DrawdownDuration
2016-12-16  10000.0          0.0               NaN
2016-12-19  10000.0          0.0               NaN
2016-12-20  10000.0          0.0               NaN
2016-12-21  10000.0          0.0               NaN
2016-12-22  10000.0          0.0               NaN
2016-12-23  10000.0          0.0               NaN
2016-12-27  10000.0          0.0               NaN
2016-12-28  10000.0          0.0               NaN
2016-12-29  10000.0          0.0               NaN
2016-12-30  10000.0          0.0               NaN
2017-12-06  10000.0          0.0               NaN
2017-12-07  10000.0          0.0               NaN
2017-12-08  10000.0          0.0               NaN
2017-12-11  10000.0          0.0               NaN
2017-12-12  10000.0          0.0               NaN
2017-12-13  10000.0          0.0               NaN
2017-12-14  10000.0          0.0               NaN
2017-12-15  10000.0          0.0               NaN
2017-12-18  10000.0          0.0               NaN
2017-12-19  10000.0          0.0               NaN
2017-12-20  10000.0          0.0               NaN
2017-12-21  10000.0          0.0               NaN
2017-12-22  10000.0          0.0               NaN
2017-12-26  10000.0          0.0               NaN
2017-12-27  10000.0          0.0               NaN
2017-12-28  10000.0          0.0               NaN
2017-12-29  10000.0          0.0               NaN
2018-12-21  10000.0          0.0               NaN","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",HASI,
2013-12-31,2018-12-21,1816 days,2.3255813953488373,9702.537376880646,10000.0,-2.9746262311935423,30.180970984137385,-8.468421781130997,4.323506311775546,-0.4181656117481558,-1.9586930538452823,-1.7925165483888552,-2.8468860027947485,-2.8587364003779347,-0.0038398310934567807,-2.9746262311935445,-2.9746262311935445,357 days,357 days,1,0.0,-2.9868873854524263,-2.9868873854524263,-2.9868873854524303,1 days,1 days,0.0,-2.9868873854524263,,,M002FullStrategy,"                  Equity  DrawdownPct DrawdownDuration
2013-12-31  10000.000000     0.000000              NaT
2014-12-23  10000.000000     0.000000              NaT
2014-12-24  10000.000000     0.000000              NaT
2014-12-26  10000.000000     0.000000              NaT
2014-12-29  10000.000000     0.000000              NaT
...                  ...          ...              ...
2018-12-17   9702.537377     0.029746              NaT
2018-12-18   9702.537377     0.029746              NaT
2018-12-19   9702.537377     0.029746              NaT
2018-12-20   9702.537377     0.029746              NaT
2018-12-21   9702.537377     0.029746         357 days

[86 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice    SL    TP         PnL  Commission  ReturnPct  EntryTime   ExitTime Duration   Tag
0  -405        60       61       24.59  25.200001  None  None -297.462623   50.412376  -0.029869 2018-11-14 2018-11-15   1 days  None",OCFC,50.412375926971436
2012-12-27,2018-12-21,2185 days,0.0,10000.0,10000.0,0.0,6.9488138986313785,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,M002FullStrategy,"             Equity  DrawdownPct  DrawdownDuration
2012-12-27  10000.0          0.0               NaN
2012-12-28  10000.0          0.0               NaN
2012-12-31  10000.0          0.0               NaN
2013-12-26  10000.0          0.0               NaN
2013-12-27  10000.0          0.0               NaN
...             ...          ...               ...
2018-12-17  10000.0          0.0               NaN
2018-12-18  10000.0          0.0               NaN
2018-12-19  10000.0          0.0               NaN
2018-12-20  10000.0          0.0               NaN
2018-12-21  10000.0          0.0               NaN

[107 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",AIG,
2013-11-21,2018-12-21,1856 days,1.7543859649122806,9499.300443315506,10000.0,-5.006995566844944,50.05670125469644,-10.733861736369555,6.3756569741663025,-0.6950125219508663,-1.6835695175983245,-1.5047431589792228,-2.1437729658573046,-4.686378249999987,-0.006405082812261335,-5.006995566844941,-5.006995566844941,18 days,18 days,1,0.0,-5.035704304494567,-5.035704304494567,-5.035704304494571,2 days,2 days,0.0,-5.035704304494567,,,M002FullStrategy,"                  Equity  DrawdownPct DrawdownDuration
2013-11-21  10000.000000      0.00000              NaT
2013-11-22  10000.000000      0.00000              NaT
2013-11-25  10000.000000      0.00000              NaT
2013-11-26  10000.000000      0.00000              NaT
2013-11-27  10000.000000      0.00000              NaT
...                  ...          ...              ...
2018-12-17   9499.300443      0.05007              NaT
2018-12-18   9499.300443      0.05007              NaT
2018-12-19   9499.300443      0.05007              NaT
2018-12-20   9499.300443      0.05007              NaT
2018-12-21   9499.300443      0.05007          18 days

[114 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice    SL    TP         PnL  Commission  ReturnPct  EntryTime   ExitTime Duration   Tag
0  -271       101      102   36.689999  38.349998  None  None -500.699557   50.839598  -0.050357 2018-12-04 2018-12-06   2 days  None",AEM,50.83959803581238
